species,nt,ntp1,oviposition_days,chaff_presence,temp,rh,exp_name,output_eggs
A,5,4,7,0,22.5,70,cc_cold,NA
A,5,27,7,0,22.5,70,cc_cold,NA
A,5,70,7,0,22.5,70,cc_cold,NA
A,5,59,7,0,22.5,70,cc_cold,NA
A,5,37,7,0,22.5,70,cc_cold,NA
A,10,65,7,0,22.5,70,cc_cold,NA
A,10,62,7,0,22.5,70,cc_cold,NA
A,10,71,7,0,22.5,70,cc_cold,NA
A,10,109,7,0,22.5,70,cc_cold,NA
A,10,74,7,0,22.5,70,cc_cold,NA
A,20,139,7,0,22.5,70,cc_cold,NA
A,20,82,7,0,22.5,70,cc_cold,NA
A,20,88,7,0,22.5,70,cc_cold,NA
A,20,116,7,0,22.5,70,cc_cold,NA
A,20,124,7,0,22.5,70,cc_cold,NA
A,40,176,7,0,22.5,70,cc_cold,NA
A,40,204,7,0,22.5,70,cc_cold,NA
A,40,190,7,0,22.5,70,cc_cold,NA
A,40,158,7,0,22.5,70,cc_cold,NA
A,40,240,7,0,22.5,70,cc_cold,NA
A,40,195,7,0,22.5,70,cc_cold,NA
A,40,191,7,0,22.5,70,cc_cold,NA
A,40,160,7,0,22.5,70,cc_cold,NA
A,40,170,7,0,22.5,70,cc_cold,NA
A,40,210,7,0,22.5,70,cc_cold,NA
A,5,50,7,0,22.5,70,cc_cold,NA
A,5,24,7,0,22.5,70,cc_cold,NA
A,5,21,7,0,22.5,70,cc_cold,NA
A,5,83,7,0,22.5,70,cc_cold,NA
A,5,23,7,0,22.5,70,cc_cold,NA
A,5,17,7,0,22.5,70,cc_cold,NA
A,5,70,7,0,22.5,70,cc_cold,NA
A,5,0,7,0,22.5,70,cc_cold,NA
A,5,40,7,0,22.5,70,cc_cold,NA
A,5,0,7,0,22.5,70,cc_cold,NA
A,5,54,7,0,22.5,70,cc_cold,NA
A,5,21,7,0,22.5,70,cc_cold,NA
A,5,71,7,0,22.5,70,cc_cold,NA
A,5,19,7,0,22.5,70,cc_cold,NA
A,5,65,7,0,22.5,70,cc_cold,NA
A,5,16,7,0,22.5,70,cc_cold,NA
A,5,23,7,0,22.5,70,cc_cold,NA
A,5,46,7,0,22.5,70,cc_cold,NA
A,5,31,7,0,22.5,70,cc_cold,NA
A,5,21,7,0,22.5,70,cc_cold,NA
A,5,0,7,0,22.5,70,cc_cold,NA
A,5,10,7,0,22.5,70,cc_cold,NA
A,5,32,7,0,22.5,70,cc_cold,NA
A,5,28,7,0,22.5,70,cc_cold,NA
A,5,53,7,0,22.5,70,cc_cold,NA
A,50,245,7,0,22.5,70,cc_cold,NA
A,50,198,7,0,22.5,70,cc_cold,NA
A,50,305,7,0,22.5,70,cc_cold,NA
A,50,266,7,0,22.5,70,cc_cold,NA
A,50,209,7,0,22.5,70,cc_cold,NA
A,50,280,7,0,22.5,70,cc_cold,NA
A,50,290,7,0,22.5,70,cc_cold,NA
A,50,314,7,0,22.5,70,cc_cold,NA
A,50,279,7,0,22.5,70,cc_cold,NA
A,50,352,7,0,22.5,70,cc_cold,NA
A,50,290,7,0,22.5,70,cc_cold,NA
A,50,278,7,0,22.5,70,cc_cold,NA
A,50,291,7,0,22.5,70,cc_cold,NA
A,50,323,7,0,22.5,70,cc_cold,NA
A,50,270,7,0,22.5,70,cc_cold,NA
A,50,237,7,0,22.5,70,cc_cold,NA
A,50,269,7,0,22.5,70,cc_cold,NA
A,50,246,7,0,22.5,70,cc_cold,NA
A,50,255,7,0,22.5,70,cc_cold,NA
A,50,325,7,0,22.5,70,cc_cold,NA
A,50,301,7,0,22.5,70,cc_cold,NA
A,50,220,7,0,22.5,70,cc_cold,NA
A,50,303,7,0,22.5,70,cc_cold,NA
A,50,241,7,0,22.5,70,cc_cold,NA
A,10,106,7,0,22.5,70,cc_cold,NA
A,10,118,7,0,22.5,70,cc_cold,NA
A,10,137,7,0,22.5,70,cc_cold,NA
A,10,73,7,0,22.5,70,cc_cold,NA
A,10,98,7,0,22.5,70,cc_cold,NA
A,10,103,7,0,22.5,70,cc_cold,NA
A,10,75,7,0,22.5,70,cc_cold,NA
A,10,82,7,0,22.5,70,cc_cold,NA
A,10,48,7,0,22.5,70,cc_cold,NA
A,10,41,7,0,22.5,70,cc_cold,NA
A,10,103,7,0,22.5,70,cc_cold,NA
A,10,81,7,0,22.5,70,cc_cold,NA
A,10,86,7,0,22.5,70,cc_cold,NA
A,10,76,7,0,22.5,70,cc_cold,NA
A,10,100,7,0,22.5,70,cc_cold,NA
A,10,96,7,0,22.5,70,cc_cold,NA
A,10,53,7,0,22.5,70,cc_cold,NA
A,10,76,7,0,22.5,70,cc_cold,NA
A,10,53,7,0,22.5,70,cc_cold,NA
A,10,133,7,0,22.5,70,cc_cold,NA
A,10,52,7,0,22.5,70,cc_cold,NA
A,10,70,7,0,22.5,70,cc_cold,NA
A,10,75,7,0,22.5,70,cc_cold,NA
A,10,81,7,0,22.5,70,cc_cold,NA
A,10,116,7,0,22.5,70,cc_cold,NA
A,50,283,7,0,22.5,70,cc_cold,NA
A,50,262,7,0,22.5,70,cc_cold,NA
A,50,280,7,0,22.5,70,cc_cold,NA
A,50,254,7,0,22.5,70,cc_cold,NA
A,50,255,7,0,22.5,70,cc_cold,NA
A,100,378,7,0,22.5,70,cc_cold,NA
A,100,346,7,0,22.5,70,cc_cold,NA
A,100,331,7,0,22.5,70,cc_cold,NA
A,100,400,7,0,22.5,70,cc_cold,NA
A,100,377,7,0,22.5,70,cc_cold,NA
A,100,414,7,0,22.5,70,cc_cold,NA
A,100,389,7,0,22.5,70,cc_cold,NA
A,100,363,7,0,22.5,70,cc_cold,NA
A,100,291,7,0,22.5,70,cc_cold,NA
A,100,346,7,0,22.5,70,cc_cold,NA
A,100,388,7,0,22.5,70,cc_cold,NA
A,100,353,7,0,22.5,70,cc_cold,NA
A,100,378,7,0,22.5,70,cc_cold,NA
A,100,383,7,0,22.5,70,cc_cold,NA
A,100,319,7,0,22.5,70,cc_cold,NA
A,100,353,7,0,22.5,70,cc_cold,NA
A,100,380,7,0,22.5,70,cc_cold,NA
A,100,383,7,0,22.5,70,cc_cold,NA
A,100,374,7,0,22.5,70,cc_cold,NA
A,100,328,7,0,22.5,70,cc_cold,NA
A,20,154,7,0,22.5,70,cc_cold,NA
A,20,166,7,0,22.5,70,cc_cold,NA
A,20,101,7,0,22.5,70,cc_cold,NA
A,20,127,7,0,22.5,70,cc_cold,NA
A,20,151,7,0,22.5,70,cc_cold,NA
A,20,164,7,0,22.5,70,cc_cold,NA
A,20,134,7,0,22.5,70,cc_cold,NA
A,20,163,7,0,22.5,70,cc_cold,NA
A,20,145,7,0,22.5,70,cc_cold,NA
A,20,220,7,0,22.5,70,cc_cold,NA
A,20,151,7,0,22.5,70,cc_cold,NA
A,20,153,7,0,22.5,70,cc_cold,NA
A,20,116,7,0,22.5,70,cc_cold,NA
A,20,114,7,0,22.5,70,cc_cold,NA
A,20,123,7,0,22.5,70,cc_cold,NA
A,20,178,7,0,22.5,70,cc_cold,NA
A,20,125,7,0,22.5,70,cc_cold,NA
A,20,164,7,0,22.5,70,cc_cold,NA
